**********************************************
REPORTE AUDITORIA
PAIDK43207		44
ANSDSK4128		32
PAIDK03092		30
CALW12APP001	10
NPTDSKAX43168	3



************************************************
25 CONSULTAS MAS USADAS
************************************************
exec sp_executesql N'SELECT   [Extent2].[Ident_Campo] AS [Ident_Campo],   [Extent2].[CodlCampo] AS [CodlCampo],   [Extent2].[CodcCampo] AS [CodcCampo],   [Extent2].[DescmCampo] AS [DescmCampo],   [Extent2].[CantCampo] AS [CantCampo],   [Extent2].[ValoCampo] AS [ValoCampo],   [Extent2].[Ident_Tabla] 
exec sp_executesql N'SELECT   1 AS [C1],   [Extent2].[Ident_Condicion] AS [Ident_Condicion],   [Extent2].[Ident_Tarifario] AS [Ident_Tarifario],   [Extent2].[Usuario] AS [Usuario],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Activo] AS [Activo],   [Extent2].[ReglaFacturacion] AS [ReglaFacturacion
exec sp_executesql N'SELECT   [Extent2].[Ident_TipoFacturacion] AS [Ident_TipoFacturacion],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Usuario] AS [Usuario],   [Extent2].[Descripcion] AS [Descripcion]  FROM  [dbo].[FAC_Configuracion] AS [Extent1]  INNER JOIN [dbo].[FAC_TipoFacturacion] AS [Exten
exec sp_executesql N'SELECT   [Extent2].[Cod_CentroCosto] AS [Cod_CentroCosto],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Cod_Ofisis] AS [Cod_Ofisis],   [Extent2].[Cod_Division] AS [Cod_Division],   [Extent2].[Iniciales] AS [Iniciales]  FROM  [dbo].[FAC_Configuracion] AS [Extent1]  INNER JOIN [
exec sp_executesql N'SELECT   1 AS [C1],   [Extent2].[Ident_ValorCondicion] AS [Ident_ValorCondicion],   [Extent2].[Codigo] AS [Codigo],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Activo] AS [Activo],   [Extent2].[Ident_Condicion] AS [Ident_Condicion]  FROM  [dbo].[FAC_CntOperacionXCondicion] AS
exec sp_executesql N'SELECT   1 AS [C1],   [Join1].[Ident_Configuracion1] AS [Ident_Configuracion],   [Join1].[Ident_Formato1] AS [Ident_Formato],   [Join1].[Ident_Condicion1] AS [Ident_Condicion],   [Join1].[Ident_ValorCondicion1] AS [Ident_ValorCondicion]  FROM  [dbo].[FAC_FormatoXCondicion] AS [E
exec sp_executesql N'SELECT   1 AS [C1],   [Extent2].[Ident_Servicio] AS [Ident_Servicio],   [Extent2].[NombreServicio] AS [NombreServicio],   [Extent2].[Cod_OrigenServicio] AS [Cod_OrigenServicio],   [Extent2].[Cod_OrigenOfisis] AS [Cod_OrigenOfisis],   [Extent2].[I003_Moneda] AS [I003_Moneda]  FRO
exec sp_executesql N'SELECT   1 AS [C1],   [Extent1].[Ident_Configuracion] AS [Ident_Configuracion],   [Extent1].[Ident_Formato] AS [Ident_Formato],   [Extent1].[Prioridad] AS [Prioridad]  FROM [dbo].[FAC_ConfiguracionXFormato] AS [Extent1]  WHERE [Extent1].[Ident_Formato] = @EntityKeyValue1',N'@Ent
exec sp_executesql N'SELECT   [Extent2].[Ident_TipoDocumento] AS [Ident_TipoDocumento],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Facturacion] AS [Facturacion],   [Extent2].[Usuario] AS [Usuario]  FROM  [dbo].[FAC_Formato] AS [Extent1]  INNER JOIN [dbo].[FAC_TipoDocumento] AS [Extent2] ON [Exte
exec sp_executesql N'SELECT   1 AS [C1],   [Join1].[Ident_Configuracion1] AS [Ident_Configuracion],   [Join1].[Ident_Serie1] AS [Ident_Serie],   [Join1].[Ident_Condicion1] AS [Ident_Condicion],   [Join1].[Ident_ValorCondicion1] AS [Ident_ValorCondicion]  FROM  [dbo].[FAC_SerieXCondicion] AS [Extent1
exec sp_executesql N'SELECT   1 AS [C1],   [Extent2].[Ident_ValorCondicion] AS [Ident_ValorCondicion],   [Extent2].[Codigo] AS [Codigo],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Activo] AS [Activo],   [Extent2].[Ident_Condicion] AS [Ident_Condicion]  FROM  [dbo].[FAC_CntDocumentoXCondicion] AS
exec FAC_ObtenerParametro_Nombre @Nombre='IdentMoneda_Soles'
exec FAC_ObtenerParametro_Nombre @Nombre='IdentMoneda_Dolares'
exec FAC_ObtenerLocal_IdentLocal @IdentLocal=1
exec FAC_ObtenerUnidadNegocio_CodCentroCosto @Cod_CentroCosto=13
exec sp_executesql N'SELECT   [Extent2].[Ident_TipoDocumento] AS [Ident_TipoDocumento],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Facturacion] AS [Facturacion],   [Extent2].[Usuario] AS [Usuario]  FROM  [dbo].[FAC_Serie] AS [Extent1]  INNER JOIN [dbo].[FAC_TipoDocumento] AS [Extent2] ON [Extent
exec FAC_ObtenerParametro_Nombre @Nombre='IdentTipoDocumento_Factura'
exec sp_executesql N'SELECT   [Extent2].[Ident_Usuario] AS [Ident_Usuario],   [Extent2].[Nombre] AS [Nombre],   [Extent2].[Password] AS [Password],   [Extent2].[Activo] AS [Activo],   [Extent2].[Correo] AS [Correo],   [Extent2].[Login] AS [Login]  FROM  [dbo].[FAC_UsuarioXLocal] AS [Extent1]  INNER 
exec sp_executesql N'SELECT   1 AS [C1],   [Extent1].[Ident_Configuracion] AS [Ident_Configuracion],   [Extent1].[Ident_Serie] AS [Ident_Serie],   [Extent1].[Prioridad] AS [Prioridad]  FROM [dbo].[FAC_ConfiguracionXSerie] AS [Extent1]  WHERE [Extent1].[Ident_Serie] = @EntityKeyValue1',N'@EntityKeyVa
exec FAC_ObtenerParametro_Nombre @Nombre='IdentTipoOperacion_Produccion'
exec [FAC_ObtenerGenerico_IdentCampo] @Ident_Campo=10
exec [FAC_ObtenerGenerico_IdentCampo] @Ident_Campo=12
exec [FAC_ObtenerGenerico_IdentCampo] @Ident_Campo=114




**********************************************
VERSION SISTEMA OPERATIVO
**********************************************
Microsoft Windows Server 2008 R2 Datacenter 
ARQUITECTURA SO	: 64-bit
VERSION			: 6.1.7601

**********************************************
PROCESADORES
**********************************************
Nro Procesador: 0 Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz  Cores: 2
Nro Procesador: 1 Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz  Cores: 2
Nro Procesador: 2 Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz  Cores: 2
Nro Procesador: 3 Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz  Cores: 2
TOTAL PROCESADORES:               8

**********************************************
MEMORIA FISICA
**********************************************
Physical Memory 0:     8192 MB
Physical Memory 1:     4096 MB
Total Memoria Instalada:               12288 MB

**********************************************
UNIDADES ALMACENAMIENTO DISCOS
**********************************************
C:
	Size : 59.90 -    100.00%
	Libre : 27.42 -   45.78%
	Usado : 32.48 -   54.22%
D:
	Size : 79.87 -    100.00%
	Libre : 40.96 -   51.28%
	Usado : 38.91 -   48.72%
E:
	Size : 39.87 -    100.00%
	Libre : 24.16 -   60.60%
	Usado : 15.71 -   39.40%

*************************************************
VERSION MOTOR DE BASE DE DATOS
*************************************************
Microsoft SQL Server 2008 R2 (SP3) - 10.50.6220.0 (X64) 
Standard Edition (64-bit) on Windows NT 6.1 <X64> (Build 7601: Service Pack 1) 


